Cluster Number;Taxa;Mean;median;Standard Deviation
65;G1494,G1495,G1621,G871;4.202394;3.745435;1.478611
66;G1015,G839,G850,G788;6.176086;5.167316;1.216001
67;G103,G1957;0.002408;0.002408;0.000000
68;G108,G260,G1350,G99,G1839;2.942021;2.537542;1.650519
69;G142,G250;0.003633;0.003633;0.000000
70;G123,G1799,G835;3.001211;3.000000;0.001211
71;G1587,G1708,G322;7.718110;6.153119;1.280128
72;G474,G84;2.000000;2.000000;0.000000
73;G1524,G1576,G1805;1.361303;1.000000;0.794316
74;G675,G832;2.000000;2.000000;0.000000
75;G1141,G146,G1761,G1747;3.844644;3.792858;0.923411
76;G1258,G128;1.006175;1.006175;0.000000
77;G1543,G975;7.000000;7.000000;0.000000
78;G1065,G233,G1322;7.333333;5.000000;2.333333
79;G465,G497,G500;4.444444;2.000000;2.598670
80;G1648,G1653,G1785,G848,G538;8.739989;10.249490;3.156577
81;G1759,G991,G990,G992;4.283359;2.098361;2.358677
82;G1360,G1420;2.674406;2.674406;0.000000
83;G395,G89;3.000042;3.000042;0.000000
84;G1638,G439;3.082252;3.082252;0.000000
85;G1180,G1181,G1446,G405,G76,G1965;1.772821;1.095109;0.657719
86;G1782,G1954;1.000000;1.000000;0.000000
87;G1469,G94;4.000000;4.000000;0.000000
88;G565,G580;0.849479;0.849479;0.000000
89;G1519,G1613,G1647;8.398623;8.115463;0.283160
90;G1431,G25;2.471449;2.471449;0.000000
91;G1835,G1851;10.000000;10.000000;0.000000
92;G934,G976;1.000000;1.000000;0.000000
93;G1107,G1274;6.000000;6.000000;0.000000
94;G1190,G262,G641;3.339963;1.339963;2.000000
95;G120,G431,G435;1.649745;0.536424;1.380634
96;G1268,G1377;1.000000;1.000000;0.000000
97;G1269,G1355;0.023350;0.023350;0.000000
98;G1564,G1742;0.485886;0.485886;0.000000
99;G665,G684;9.000000;9.000000;0.000000
100;G242,G467;10.000000;10.000000;0.000000
101;G1636,G454;4.000000;4.000000;0.000000
102;G1161,G1736;0.002721;0.002721;0.000000
103;G1507,G1791,G1803;5.989431;5.988524;0.000907
104;G1464,G862;8.000000;8.000000;0.000000
105;G114,G1330,G679,G815,G813;2.132469;0.532469;1.600000
106;G177,G318;1.000000;1.000000;0.000000
107;G1309,G1310,G1634;2.681349;3.514683;1.683251
108;G1304,G1305;0.013638;0.013638;0.000000
109;G1620,G1628;0.004064;0.004064;0.000000
110;G1128,G1562;0.003969;0.003969;0.000000
111;G1156,G19,G940,G1440;9.692350;9.911996;0.382158
112;G377,G883;2.056308;2.056308;0.000000
